city_russian,Санкт-Петербург,Владикавказ,Астрахань,Калининград,Таганрог,Томск,Кострома,Чита,Тамбов,Иваново,Москва (старая),Саратов,Ростов-на-Дону,Челябинск,Ярославль,Вологда,Ульяновск,Владивосток,Казань,Тверь,Курск,Самара,Калуга,Нижний Новгород,Иркутск,Тула,Владимир,Архангельск,Орёл,Рязань,Пермь,Киров,Пенза,Оренбург,Ставрополь,Уфа,Грозный,Смоленск,Новороссийск,Хабаровск,Омск,Стерлитамак,Воронеж,Нижний Тагил,Волгоград,Тюмень,Красноярск,Краснодар,Барнаул,Ижевск,Екатеринбург,Петрозаводск,Химки,Новая Москва,Курган,Балашиха,Липецк,Череповец,Белгород,Саранск,Улан-Удэ,Подольск,Брянск,Нижневартовск,Магнитогорск,Новосибирск,Махачкала,Мурманск,Набережные Челны,Якутск,Йошкар-Ола,Кемерово,Сочи,Сургут,Волжский,Тольятти,Чебоксары,Новокузнецк
До Революции,17,8,8,6,5,5,5,4,4,4,4,4,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920-е,1,0,1,4,2,0,0,0,0,4,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-е,3,1,1,1,4,0,2,1,1,4,3,2,2,2,2,1,0,2,1,2,1,2,1,6,2,2,1,5,0,1,1,1,1,0,0,1,1,2,1,2,1,0,1,2,1,0,1,0,1,1,2,2,1,0,0,1,1,0,0,1,4,2,1,0,2,2,1,3,0,0,0,2,1,0,0,0,1,2
1940–1956,4,2,3,5,6,3,3,3,3,6,5,4,4,6,3,2,3,3,4,5,4,7,4,4,4,4,5,3,5,2,4,3,3,1,2,3,3,5,3,5,5,4,6,10,10,1,3,2,4,3,5,6,1,3,4,2,3,2,2,3,4,4,6,0,11,4,2,5,0,1,3,6,2,0,3,2,2,8
Хрущёв,8,6,8,3,9,6,9,7,7,10,11,9,7,9,9,6,7,8,8,9,8,11,7,10,8,14,11,8,9,9,11,9,8,5,5,9,9,8,6,10,10,12,10,14,15,3,9,4,9,7,9,8,5,2,9,4,8,11,6,9,10,8,9,0,12,9,4,12,1,3,9,12,5,0,10,5,6,17
Брежнев,28,32,29,20,30,27,32,31,28,37,37,31,28,26,37,31,34,35,23,31,31,31,31,35,27,34,40,42,31,29,31,30,30,34,18,31,35,29,22,34,33,36,26,41,36,21,28,14,29,38,28,31,17,9,46,18,32,39,30,37,30,25,27,37,30,27,21,54,45,22,29,36,19,22,43,44,31,38
Горбачев,7,10,10,6,9,9,9,12,7,8,7,8,7,8,9,12,14,9,7,9,9,7,10,9,11,8,10,12,8,10,9,11,11,8,7,9,8,10,6,11,12,9,8,13,8,8,9,4,9,12,8,13,5,2,11,5,11,12,9,12,9,5,9,16,10,7,6,14,10,10,12,9,5,15,13,12,10,10
90-е,5,8,8,5,8,9,9,10,9,6,9,8,7,9,7,11,9,9,10,10,9,7,9,7,8,7,8,7,10,9,9,9,9,9,10,9,3,9,8,7,8,9,10,7,8,10,7,5,8,8,8,7,5,3,8,4,12,8,13,6,7,4,10,9,8,6,6,6,6,12,12,8,6,12,7,12,13,7
00-е,19,10,15,18,12,18,9,14,13,7,15,12,16,10,10,15,9,9,28,12,15,13,11,11,13,9,11,7,16,15,13,11,14,13,20,12,18,15,10,11,13,11,17,6,10,19,16,15,14,8,16,8,25,13,7,22,15,12,20,10,12,18,13,14,11,14,16,2,11,19,11,11,15,16,9,13,13,11
Старше 2010,8,23,17,32,15,23,22,18,28,14,8,22,24,28,19,19,21,22,16,18,20,19,24,14,24,18,11,12,18,23,20,24,22,28,36,24,21,20,41,18,17,18,21,6,11,37,26,55,25,22,22,23,40,67,14,43,17,15,19,21,22,32,23,24,16,31,44,4,27,33,24,16,47,35,15,12,24,7